name,mle,ll,ul,method
alpha,0.033459422355649554,0.026165765084263062,0.09823391012899375,Surface
nu,0.05536363636363637,0.009954459979639065,0.1489898989898992,Surface
P_0,2.6491226637369114,1.2244897959183676,5.102040816326522,Surface
tau,0.13634350037063406,0.10754538082472999,0.22756596811176838,Surface
upsilon,0.19096541131451433,0.13702960259128089,0.6348291641771932,Surface
zeta,1.13550799355028,0.9773603517549136,1.3571428571428565,Surface
Re_0,5.55490510444797,4.781246840785038,6.639142857142853,Surface
zeta,1.0030030030030037,0.7762762762762763,1.5345345345345367,MCAP
P_0,3.028130170987339,1.1356254213397141,7.293620150763073,MCAP
alpha,0.1492992992992994,0.06934934934934935,0.4857757757757763,MCAP
nu,0.07971571571571578,9.999999999999783e-4,0.17160060060060076,MCAP
upsilon,0.33733733733733734,0.20520520520520522,0.5795795795795796,MCAP
tau,0.16950450450450497,0.09567567567567592,0.26513513513513587,MCAP
Re_0,4.906690690690694,3.7975435435435436,7.506942942942953,MCAP
zeta,1.2346938775510208,0.8979591836734694,1.3877551020408156,Profile
P_0,1.836734693877554,1.0204081632653061,5.102040816326522,Profile
alpha,0.04000000000000003,0.03000000000000006,0.08999999999999962,Profile
nu,0.05536363636363637,0.013080808080808184,0.1489898989898992,Profile
upsilon,0.48979591836734687,0.10204081632653064,0.8979591836734693,Profile
tau,0.1666326530612253,0.11612244897959148,0.22724489795918412,Profile
Re_0,6.040122448979593,4.392816326530612,6.78889795918367,Profile
